t,temp_C,temp_seasonal,anomaly,z,rain_mm,wet,date
1,3.516952506516725,3.3606057930623,0.1563467134544251,0.05583811194800897,8.170926866436758,1,2025-01-01
2,3.036354093542077,3.318472418778809,-0.28211832523673186,-0.10075654472740424,0.0,0,2025-01-02
3,2.199989353716264,3.2789115684803427,-1.078922214764079,-0.3853293624157425,0.0,0,2025-01-03
4,3.3044608103894317,3.2419349649006417,0.06252584548879014,0.02233065910313934,0.0,0,2025-01-04
5,1.1094541755107499,3.207553565005364,-2.0980993894946143,-0.7493212105337909,0.0,0,2025-01-05
6,0.7674284609934503,3.1757775567453113,-2.408349095751861,-0.8601246770542361,3.8115562825414284,1,2025-01-06
7,1.5984416292541375,3.146616356037512,-1.5481747267833748,-0.5529195452797767,0.0,0,2025-01-07
8,3.2747141163935427,3.1200786039750863,0.1546355124184564,0.0552269687208773,3.2926912905983086,1,2025-01-08
9,2.2121569185106913,3.0961721642667026,-0.8840152457560114,-0.315719730627147,0.0,0,2025-01-09
10,1.1803542289637108,3.0749041209063908,-1.89454989194268,-0.6766249614081,0.0,0,2025-01-10
11,0.9179782797095744,3.056280776074397,-2.1383024963648225,-0.7636794629874366,0.0,0,2025-01-11
12,0.8682650345016638,3.0403076482697227,-2.172042613768059,-0.775729504917164,0.0,0,2025-01-12
13,1.657030859391535,3.026989470674865,-1.3699586112833297,-0.4892709326011892,0.0,0,2025-01-13
14,3.720162045225276,3.0163301897532726,0.7038318554720033,0.25136851981142977,3.3337629852854516,1,2025-01-14
15,8.882056742395754,3.00833296407993,5.873723778315823,2.097758492255651,1.8083028752015011,1,2025-01-15
16,7.4988259010061675,3.0030001634053995,4.495825737600768,1.6056520491431314,3.0965890476399434,1,2025-01-16
17,9.926588847543977,3.00033336795361,6.926255479590367,2.473662671282274,0.0,0,2025-01-17
18,8.96869581775772,3.00033336795361,5.968362449804109,2.1315580177871816,0.0,0,2025-01-18
19,5.191054844798311,3.0030001634053995,2.1880546813929107,0.7814481004974682,0.0,0,2025-01-19
20,6.308893752215924,3.00833296407993,3.3005607881359937,1.1787717100485693,0.0,0,2025-01-20
21,8.848867821270606,3.0163301897532726,5.832537631517333,2.083049154113333,0.0,0,2025-01-21
22,3.9865481779421534,3.026989470674865,0.9595587072672886,0.342699538309746,0.0,0,2025-01-22
23,1.2607020358605314,3.0403076482697227,-1.7796056124091912,-0.6355734330032826,0.0,0,2025-01-23
24,0.3503183135175938,3.0562807760743986,-2.705962462556805,-0.966415165198859,0.0,0,2025-01-24
25,1.8145944113489945,3.0749041209063908,-1.2603097095573963,-0.450110610556213,0.0,0,2025-01-25
26,0.898883083438669,3.0961721642667026,-2.1972890808280336,-0.7847461002957263,0.0,0,2025-01-26
27,2.953837269245632,3.1200786039750863,-0.16624133472945446,-0.059371905260519456,0.0,0,2025-01-27
28,5.75181484072295,3.146616356037512,2.6051984846854377,0.9304280302447993,0.0,0,2025-01-28
29,3.946558188480488,3.1757775567453113,0.7707806317351769,0.27527879704827746,0.0,0,2025-01-29
30,1.3444482995578042,3.207553565005364,-1.86310526544756,-0.6653947376598429,0.0,0,2025-01-30
31,-0.5287793366769757,3.2419349649006435,-3.770714301577619,-1.3466836791348642,0.0,0,2025-01-31
32,1.3892698938089003,3.2789115684803445,-1.8896416746714442,-0.674872026668373,2.190372575565648,1,2025-02-01
33,1.4008301438131805,3.318472418778809,-1.9176422749656283,-0.684872241059153,0.2294901195418174,1,2025-02-02
34,4.936540363361128,3.360605793062298,1.5759345702988294,0.5628337751067248,0.0,0,2025-02-03
35,6.257826035879235,3.405299206302704,2.852526829576531,1.0187595819916184,6.88555396697059,1,2025-02-04
36,4.0310568099469775,3.4525394148771156,0.5785173950698621,0.20661335538209363,0.0,0,2025-02-05
37,2.688790091697054,3.5023124204922063,-0.8135223287951522,-0.2905436888554115,1.2748014036060997,1,2025-02-06
38,2.2969220491703957,3.5546034743322235,-1.2576814251618278,-0.44917193755779566,6.662131285890463,1,2025-02-07
39,4.0230563948497355,3.60939708142938,0.4136593134203559,0.14773546907869853,0.0,0,2025-02-08
40,5.626506057172214,3.6666770052553517,1.959829051916862,0.6999389471131651,0.0,0,2025-02-09
41,7.518344118286894,3.726426272532507,3.791917845754387,1.3542563734837099,16.180998544726055,1,2025-02-10
42,8.055082634808757,3.7886271782634537,4.2664554565453034,1.5237340916233229,0.0,0,2025-02-11
43,5.312709473020787,3.8532612909774233,1.4594481820433636,0.5212314935869156,0.0,0,2025-02-12
44,6.139689971999854,3.9203094581918965,2.2193805138079568,0.792635897788556,0.0,0,2025-02-13
45,8.073964032818548,3.98975181208791,4.084212220730637,1.4586472216895134,16.647003328247603,1,2025-02-14
46,5.286730346725702,4.061567775397317,1.2251625713283847,0.4375580611887088,0.0,0,2025-02-15
47,8.643025113901256,4.135736067500273,4.507289046400984,1.6097460880003513,0.0,0,2025-02-16
48,7.641446844736955,4.212234710731146,3.429212134005809,1.224718619287789,0.0,0,2025-02-17
49,6.612647909787368,4.2910410368909675,2.3216068728964,0.8291453117487144,0.0,0,2025-02-18
50,4.321683260515988,4.37213169396452,-0.050448433448532226,-0.01801729766019008,0.0,0,2025-02-19
51,6.127302149815222,4.455482653040031,1.6718194967751914,0.5970783917054255,0.0,0,2025-02-20
52,3.9879973104013517,4.541069215429466,-0.5530719050281137,-0.19752568036718346,0.0,0,2025-02-21
53,1.249267349559172,4.628866019987279,-3.379598670428107,-1.2069995251528953,0.4292385604194216,1,2025-02-22
54,1.3485772628477575,4.718847050625474,-3.3702697877777164,-1.2036677813491845,10.145308369471776,1,2025-02-23
55,3.391164124442998,4.810985644022716,-1.4198215195797177,-0.5070791141356135,1.1717237581004065,1,2025-02-24
56,4.307451548784152,4.905254497525271,-0.5978029487411192,-0.2135010531218283,3.311082169134978,1,2025-02-25
57,6.830894470678005,5.0016256772373575,1.8292687934406473,0.6533102833716598,10.459645180321798,1,2025-02-26
58,6.3968046038030035,5.100070626298569,1.296733977504434,0.46311927768015504,4.385804076328222,1,2025-02-27
59,8.708888580770967,5.2005601733458775,3.5083284074250893,1.2529744312232463,0.0,0,2025-02-28
60,6.767819851099618,5.303064541157754,1.4647553099418633,0.5231268964078084,0.0,0,2025-03-01
61,5.792758265349118,5.4075533554777895,0.3852049098713286,0.13757318209690308,0.0,0,2025-03-02
62,3.9014175656817374,5.513995654015252,-1.6125780883335148,-0.5759207458333981,0.0,0,2025-03-03
63,3.735613822818422,5.622359895619864,-1.8867460728014416,-0.673837883143372,0.0,0,2025-03-04
64,5.979915849670767,5.732613969628151,0.24730188004261566,0.08832210001521988,0.0,0,2025-03-05
65,7.707106014271959,5.844725205378505,1.8623808088934541,0.6651360031762337,3.249310491259599,1,2025-03-06
66,8.280693640263976,5.958660381892218,2.322033258371758,0.8292975922756279,0.904323295472959,1,2025-03-07
67,6.783190730132255,6.074385737717561,0.708804992414694,0.253144640148105,0.0,0,2025-03-08
68,6.822816703380569,6.191866980934049,0.6309497224465208,0.22533918658804317,0.0,0,2025-03-09
69,8.402221858853995,6.3110692993138615,2.0911525595401326,0.7468401998357617,0.0,0,2025-03-10
70,5.221532318973109,6.4319573706374715,-1.2104250516643624,-0.43229466130870087,3.2037474769374312,1,2025-03-11
71,9.129230127314173,6.554495373160361,2.5747347541538126,0.9195481264835046,1.3145904545726848,1,2025-03-12
72,11.384206617586297,6.678646996227797,4.705559621358501,1.680557007628036,0.0,0,2025-03-13
73,13.467728109380893,6.8043754510344545,6.663352658346439,2.3797688065523,0.0,0,2025-03-14
74,14.214709530190605,6.931643481525732,7.283066048664873,2.601095017380312,3.444168107985448,1,2025-03-15
75,12.326848089136053,7.06041337543753,5.266434713698524,1.8808695406066158,1.5106371778390228,1,2025-03-16
76,11.283193544010853,7.190646975471193,4.092546568539659,1.46162377447845,5.568973958867989,1,2025-03-17
77,13.698904594139549,7.322305690600361,6.376598903539189,2.277356751263996,0.0,0,2025-03-18
78,12.320703744942218,7.455350507506316,4.865353237435901,1.7376261562271076,8.89871675740519,1,2025-03-19
79,12.050425715204277,7.589742002138467,4.460683713065809,1.5931013260949318,1.963338805566493,1,2025-03-20
80,14.392547565644183,7.725440351396551,6.667107214247631,2.381109719374154,0.0,0,2025-03-21
81,13.912629775925346,7.862405344931064,6.050224430994282,2.160794439640815,5.648696624511991,1,2025-03-22
82,9.608452894887849,8.00059639705848,1.6078564978293688,0.5742344635104889,8.850583842743227,1,2025-03-23
83,10.251158856209052,8.13997255878765,2.111186297421403,0.7539951062219297,0.0,0,2025-03-24
84,10.406949800019738,8.280492529953863,2.126457270065876,0.7594490250235273,0.0,0,2025-03-25
85,8.169389229050033,8.422114671456995,-0.2527254424069627,-0.09025908657391526,0.0,0,2025-03-26
86,11.975470538667402,8.564797017600071,3.4106735210673316,1.2180976860954755,0.0,0,2025-03-27
87,6.351240497659873,8.70849728852458,-2.3572567908647066,-0.8418774253088238,0.0,0,2025-03-28
88,5.6422315969967025,8.853172902738944,-3.2109413057422413,-1.1467647520508006,0.7329186435539551,1,2025-03-29
89,8.676483118191763,8.998780989736318,-0.32229787154455525,-0.11510638269448402,7.197336552530051,1,2025-03-30
90,10.560670848193407,9.145278402698045,1.415392445495363,0.5054973019626297,1.6146027926282707,1,2025-03-31
91,6.418854350229113,9.292621731278993,-2.873767381049881,-1.0263454932321003,0.0,0,2025-04-01
92,5.427533347507469,9.44076731447097,-4.0132339669635,-1.4332978453441072,9.349562175229721,1,2025-04-02
93,2.8239694353844396,9.589671253540432,-6.765701818155993,-2.4163220779128545,1.3682304861224674,1,2025-04-03
94,5.170913879653311,9.739289425036626,-4.568375545383315,-1.6315626947797555,1.166067513248212,1,2025-04-04
95,9.294731156286382,9.889577493866312,-0.5948463375799311,-0.21244512056426113,0.0,0,2025-04-05
96,11.463492607430972,10.040490926431215,1.4230016809997574,0.508214886071342,0.0,0,2025-04-06
97,10.578836631870992,10.191985003824284,0.38685162804670836,0.13816129573096728,0.0,0,2025-04-07
98,12.843536945835872,10.34401483508088,2.499522110754992,0.892686468126783,4.883324953697908,1,2025-04-08
99,12.512527105087257,10.496535370480927,2.0159917346063296,0.7199970480736892,2.6307569114378166,1,2025-04-09
100,14.482863128503805,10.649501414898127,3.833361713605678,1.369057754859171,4.8391046094897225,1,2025-04-10
101,10.976395847030343,10.802867641192236,0.17352820583810713,0.06197435922789541,0.0,0,2025-04-11
102,10.34147978994067,10.956588603640496,-0.615108813699825,-0.21968171917850893,8.297063245573899,1,2025-04-12
103,10.544228292923755,11.110618751404157,-0.5663904584804015,-0.2022823066001434,0.0,0,2025-04-13
104,15.957639075077857,11.264912442026198,4.692726633051659,1.6759737975184497,0.0,0,2025-04-14
105,16.11777442237068,11.419423954956153,4.6983504674145244,1.6779823097909017,0.0,0,2025-04-15
106,18.109568246033636,11.574107505098114,6.535460740935521,2.3340931217626864,0.0,0,2025-04-16
107,17.791844435696188,11.728917256377827,6.062927179318362,2.1653311354708435,8.17622475704739,1,2025-04-17
108,17.301063480541515,11.88380733532492,5.4172561452165935,1.934734337577355,0.0,0,2025-04-18
109,14.829231064120364,12.038731844666199,2.7904992194541665,0.9966068640907738,0.0,0,2025-04-19
110,13.012280320842724,12.193644876926001,0.8186354439167232,0.29236980139882973,0.0,0,2025-04-20
111,12.783439115952088,12.34850052802957,0.43493858792251916,0.15533520997232828,0.0,0,2025-04-21
112,13.65036084250579,12.503252910905431,1.1471079316003603,0.4096814041429858,0.0,0,2025-04-22
113,12.340177615951205,12.6578561690827,-0.31767855313149473,-0.11345662611839098,0.0,0,2025-04-23
114,9.994428259010936,12.81226449027937,-2.8178362312684335,-1.0063700825958692,10.505593748482507,1,2025-04-24
115,8.947095310365134,12.966432119977467,-4.019336809612334,-1.435477432004405,0.0,0,2025-04-25
116,7.477079614408714,13.120313374981102,-5.643233760572388,-2.015440628775853,0.0,0,2025-04-26
