date,dow,month,week,season,holiday,pre_holiday,closed
2025-01-01,2,1,1,winter,new_year,0,1
2025-01-02,3,1,1,winter,,0,0
2025-01-03,4,1,1,winter,,0,0
2025-01-04,5,1,1,winter,,0,0
2025-01-05,6,1,1,winter,,0,0
2025-01-06,0,1,1,winter,,0,0
2025-01-07,1,1,1,winter,,0,0
2025-01-08,2,1,2,winter,,0,0
2025-01-09,3,1,2,winter,,0,0
2025-01-10,4,1,2,winter,,0,0
2025-01-11,5,1,2,winter,,0,0
2025-01-12,6,1,2,winter,,0,0
2025-01-13,0,1,2,winter,,0,0
2025-01-14,1,1,2,winter,,0,0
2025-01-15,2,1,3,winter,,0,0
2025-01-16,3,1,3,winter,,0,0
2025-01-17,4,1,3,winter,,0,0
2025-01-18,5,1,3,winter,,0,0
2025-01-19,6,1,3,winter,,0,0
2025-01-20,0,1,3,winter,,0,0
2025-01-21,1,1,3,winter,,0,0
2025-01-22,2,1,4,winter,,0,0
2025-01-23,3,1,4,winter,,0,0
2025-01-24,4,1,4,winter,,0,0
2025-01-25,5,1,4,winter,,0,0
2025-01-26,6,1,4,winter,,0,0
2025-01-27,0,1,4,winter,,0,0
2025-01-28,1,1,4,winter,,0,0
2025-01-29,2,1,5,winter,,0,0
2025-01-30,3,1,5,winter,,0,0
2025-01-31,4,1,5,winter,,0,0
2025-02-01,5,2,5,winter,,0,0
2025-02-02,6,2,5,winter,,0,0
2025-02-03,0,2,5,winter,,0,0
2025-02-04,1,2,5,winter,,0,0
2025-02-05,2,2,6,winter,,0,0
2025-02-06,3,2,6,winter,,0,0
2025-02-07,4,2,6,winter,,0,0
2025-02-08,5,2,6,winter,,0,0
2025-02-09,6,2,6,winter,,0,0
2025-02-10,0,2,6,winter,,0,0
2025-02-11,1,2,6,winter,,0,0
2025-02-12,2,2,7,winter,,0,0
2025-02-13,3,2,7,winter,,0,0
2025-02-14,4,2,7,winter,,0,0
2025-02-15,5,2,7,winter,,0,0
2025-02-16,6,2,7,winter,,0,0
2025-02-17,0,2,7,winter,,0,0
2025-02-18,1,2,7,winter,,0,0
2025-02-19,2,2,8,winter,,0,0
2025-02-20,3,2,8,winter,,0,0
2025-02-21,4,2,8,winter,,0,0
2025-02-22,5,2,8,winter,,0,0
2025-02-23,6,2,8,winter,,0,0
2025-02-24,0,2,8,winter,,0,0
2025-02-25,1,2,8,winter,,0,0
2025-02-26,2,2,9,winter,,0,0
2025-02-27,3,2,9,winter,,0,0
2025-02-28,4,2,9,winter,,0,0
2025-03-01,5,3,9,spring,,0,0
2025-03-02,6,3,9,spring,,0,0
2025-03-03,0,3,9,spring,,0,0
2025-03-04,1,3,9,spring,,0,0
2025-03-05,2,3,10,spring,,0,0
2025-03-06,3,3,10,spring,,0,0
2025-03-07,4,3,10,spring,,0,0
2025-03-08,5,3,10,spring,,0,0
2025-03-09,6,3,10,spring,,0,0
2025-03-10,0,3,10,spring,,0,0
2025-03-11,1,3,10,spring,,0,0
2025-03-12,2,3,11,spring,,0,0
2025-03-13,3,3,11,spring,,0,0
2025-03-14,4,3,11,spring,,0,0
2025-03-15,5,3,11,spring,,0,0
2025-03-16,6,3,11,spring,,0,0
2025-03-17,0,3,11,spring,,0,0
2025-03-18,1,3,11,spring,,0,0
2025-03-19,2,3,12,spring,,0,0
2025-03-20,3,3,12,spring,,0,0
2025-03-21,4,3,12,spring,,0,0
2025-03-22,5,3,12,spring,,0,0
2025-03-23,6,3,12,spring,,0,0
2025-03-24,0,3,12,spring,,0,0
2025-03-25,1,3,12,spring,,0,0
2025-03-26,2,3,13,spring,,0,0
2025-03-27,3,3,13,spring,,0,0
2025-03-28,4,3,13,spring,,0,0
2025-03-29,5,3,13,spring,,0,0
2025-03-30,6,3,13,spring,,0,0
2025-03-31,0,3,13,spring,,0,0
2025-04-01,1,4,13,spring,,0,0
2025-04-02,2,4,14,spring,,0,0
2025-04-03,3,4,14,spring,,0,0
2025-04-04,4,4,14,spring,,0,0
2025-04-05,5,4,14,spring,,0,0
2025-04-06,6,4,14,spring,,0,0
2025-04-07,0,4,14,spring,,0,0
2025-04-08,1,4,14,spring,,0,0
2025-04-09,2,4,15,spring,,0,0
2025-04-10,3,4,15,spring,,0,0
2025-04-11,4,4,15,spring,,0,0
2025-04-12,5,4,15,spring,,0,0
2025-04-13,6,4,15,spring,,0,0
2025-04-14,0,4,15,spring,,0,0
2025-04-15,1,4,15,spring,,0,0
2025-04-16,2,4,16,spring,,0,0
2025-04-17,3,4,16,spring,,0,0
2025-04-18,4,4,16,spring,good_friday,1,0
2025-04-19,5,4,16,spring,,1,0
2025-04-20,6,4,16,spring,,1,0
2025-04-21,0,4,16,spring,easter_monday,0,0
2025-04-22,1,4,16,spring,,0,0
2025-04-23,2,4,17,spring,,0,0
2025-04-24,3,4,17,spring,,0,0
2025-04-25,4,4,17,spring,,0,0
2025-04-26,5,4,17,spring,,0,0
2025-04-27,6,4,17,spring,,0,0
2025-04-28,0,4,17,spring,,0,0
2025-04-29,1,4,17,spring,,0,0
2025-04-30,2,4,18,spring,,0,0
2025-05-01,3,5,18,spring,may_day,0,0
2025-05-02,4,5,18,spring,,0,0
2025-05-03,5,5,18,spring,,0,0
2025-05-04,6,5,18,spring,,0,0
2025-05-05,0,5,18,spring,,0,0
2025-05-06,1,5,18,spring,,0,0
2025-05-07,2,5,19,spring,,0,0
2025-05-08,3,5,19,spring,,0,0
2025-05-09,4,5,19,spring,,0,0
2025-05-10,5,5,19,spring,,0,0
2025-05-11,6,5,19,spring,,0,0
2025-05-12,0,5,19,spring,,0,0
2025-05-13,1,5,19,spring,,0,0
2025-05-14,2,5,20,spring,,0,0
2025-05-15,3,5,20,spring,,0,0
2025-05-16,4,5,20,spring,,0,0
2025-05-17,5,5,20,spring,,0,0
2025-05-18,6,5,20,spring,,0,0
2025-05-19,0,5,20,spring,,0,0
2025-05-20,1,5,20,spring,,0,0
2025-05-21,2,5,21,spring,,0,0
2025-05-22,3,5,21,spring,,0,0
2025-05-23,4,5,21,spring,,0,0
2025-05-24,5,5,21,spring,,0,0
2025-05-25,6,5,21,spring,,0,0
2025-05-26,0,5,21,spring,,0,0
2025-05-27,1,5,21,spring,,0,0
2025-05-28,2,5,22,spring,,0,0
2025-05-29,3,5,22,spring,,0,0
2025-05-30,4,5,22,spring,,0,0
2025-05-31,5,5,22,spring,,0,0
2025-06-01,6,6,22,summer,,0,0
2025-06-02,0,6,22,summer,,0,0
2025-06-03,1,6,22,summer,,0,0
2025-06-04,2,6,23,summer,,0,0
2025-06-05,3,6,23,summer,,0,0
2025-06-06,4,6,23,summer,,0,0
2025-06-07,5,6,23,summer,,0,0
2025-06-08,6,6,23,summer,,0,0
2025-06-09,0,6,23,summer,,0,0
2025-06-10,1,6,23,summer,,0,0
2025-06-11,2,6,24,summer,,0,0
2025-06-12,3,6,24,summer,,0,0
2025-06-13,4,6,24,summer,,0,0
2025-06-14,5,6,24,summer,,0,0
2025-06-15,6,6,24,summer,,0,0
2025-06-16,0,6,24,summer,,0,0
2025-06-17,1,6,24,summer,,0,0
2025-06-18,2,6,25,summer,,1,0
2025-06-19,3,6,25,summer,,1,0
2025-06-20,4,6,25,summer,,1,0
2025-06-21,5,6,25,summer,midsummer,0,0
2025-06-22,6,6,25,summer,,0,0
2025-06-23,0,6,25,summer,,0,0
2025-06-24,1,6,25,summer,,0,0
2025-06-25,2,6,26,summer,,0,0
2025-06-26,3,6,26,summer,,0,0
2025-06-27,4,6,26,summer,,0,0
2025-06-28,5,6,26,summer,,0,0
2025-06-29,6,6,26,summer,,0,0
2025-06-30,0,6,26,summer,,0,0
2025-07-01,1,7,26,summer,,0,0
2025-07-02,2,7,27,summer,,0,0
2025-07-03,3,7,27,summer,,0,0
2025-07-04,4,7,27,summer,,0,0
2025-07-05,5,7,27,summer,,0,0
2025-07-06,6,7,27,summer,,0,0
2025-07-07,0,7,27,summer,,0,0
2025-07-08,1,7,27,summer,,0,0
2025-07-09,2,7,28,summer,,0,0
2025-07-10,3,7,28,summer,,0,0
2025-07-11,4,7,28,summer,,0,0
2025-07-12,5,7,28,summer,,0,0
2025-07-13,6,7,28,summer,,0,0
2025-07-14,0,7,28,summer,,0,0
2025-07-15,1,7,28,summer,,0,0
2025-07-16,2,7,29,summer,,0,0
2025-07-17,3,7,29,summer,,0,0
2025-07-18,4,7,29,summer,,0,0
2025-07-19,5,7,29,summer,,0,0
2025-07-20,6,7,29,summer,,0,0
2025-07-21,0,7,29,summer,,0,0
2025-07-22,1,7,29,summer,,0,0
2025-07-23,2,7,30,summer,,0,0
2025-07-24,3,7,30,summer,,0,0
2025-07-25,4,7,30,summer,,0,0
2025-07-26,5,7,30,summer,,0,0
2025-07-27,6,7,30,summer,,0,0
2025-07-28,0,7,30,summer,,0,0
2025-07-29,1,7,30,summer,,0,0
2025-07-30,2,7,31,summer,,0,0
2025-07-31,3,7,31,summer,,0,0
2025-08-01,4,8,31,summer,,0,0
2025-08-02,5,8,31,summer,,0,0
2025-08-03,6,8,31,summer,,0,0
2025-08-04,0,8,31,summer,,0,0
2025-08-05,1,8,31,summer,,0,0
2025-08-06,2,8,32,summer,,0,0
2025-08-07,3,8,32,summer,,0,0
2025-08-08,4,8,32,summer,,0,0
2025-08-09,5,8,32,summer,,0,0
2025-08-10,6,8,32,summer,,0,0
2025-08-11,0,8,32,summer,,0,0
2025-08-12,1,8,32,summer,,0,0
2025-08-13,2,8,33,summer,,0,0
2025-08-14,3,8,33,summer,,0,0
2025-08-15,4,8,33,summer,,0,0
2025-08-16,5,8,33,summer,,0,0
2025-08-17,6,8,33,summer,,0,0
